1.110223024625156540e-16, 2.000000000000000000e+00
7.771561172376095783e-16, 1.200000000000000000e+01
9.903113209758096502e-01, 2.433883739117558065e+01
1.900968867902419390e+01, 2.433883739117558065e+01
2.000000000000000000e+01, 4.000000000000000000e+00
3.381966011250105453e+01, -1.902113032590306929e+01
4.951056516295153642e+01, -2.690983005625052726e+01
5.000000000000000000e+01, -4.200000000000000000e+01
4.809016994374947274e+01, -5.087785252292472649e+01
4.426525221777957597e+01, -5.757779097332864637e+01
2.914213562373095456e+01, -7.414213562373095101e+01
1.384739449757854501e+01, -5.539709453066782885e+01
4.690541461606599682e+00, -3.935744188040085589e+01
1.184083069428392143e-01, -2.228586294051905270e+01
1.184083069428362167e-01, -7.285862940519052700e+00
